Order Id,Return Reason
CA-2012-124891,Wrong Items
IN-2013-77878,Wrong Items
IN-2013-71249,Wrong Items
ES-2013-1579342,Wrong Items
IN-2013-42360,Wrong Items
CA-2014-135909,Wrong Items
CA-2012-116638,Wrong Items
CA-2011-102988,Wrong Items
ID-2012-28402,Wrong Items
MX-2012-130015,Wrong Items
CA-2014-143567,Wrong Items
ES-2014-1651774,Wrong Items
IN-2014-11763,Wrong Items
US-2011-128776,Wrong Items
ES-2012-5870268,Wrong Items
CA-2012-139731,Wrong Items
IN-2011-28087,Wrong Items
ES-2014-2637201,Wrong Items
IN-2011-61302,Wrong Items
IN-2014-37320,Wrong Items
IN-2014-76016,Wrong Items
ES-2012-5877219,Wrong Items
IT-2011-3183678,Wrong Items
CA-2011-116904,Wrong Items
IT-2013-3085011,Wrong Items
IN-2014-35983,Wrong Items
MX-2014-126984,Wrong Items
US-2012-163825,Wrong Items
US-2014-135013,Wrong Items
IN-2011-10286,Wrong Items
CA-2012-111829,Wrong Items
IN-2014-61792,Wrong Items
CA-2014-129021,Wrong Items
IN-2014-75470,Wrong Items
ES-2014-4673578,Wrong Items
IT-2013-3376681,Wrong Items
IN-2014-66615,Wrong Items
CA-2013-143805,Wrong Items
IT-2014-4540740,Wrong Items
IN-2013-40050,Wrong Items
MX-2011-110275,Wrong Items
IN-2014-30110,Wrong Items
IN-2014-51950,Wrong Items
CA-2012-145352,Wrong Items
IN-2011-62506,Wrong Items
IN-2011-46413,Wrong Items
ES-2014-3785216,Wrong Items
MO-2014-2000,Wrong Items
CA-2014-118892,Wrong Items
ES-2013-1434123,Wrong Items
IN-2012-64774,Wrong Items
IN-2013-48765,Wrong Items
IN-2012-48240,Wrong Items
ES-2013-3467296,Wrong Items
ID-2013-25742,Wrong Items
ES-2013-2903666,Wrong Items
IN-2012-30446,Wrong Items
IT-2012-1779015,Wrong Items
ES-2013-3903130,Wrong Items
ES-2011-2585328,Wrong Items
CA-2014-107174,Wrong Items
MX-2013-113824,Wrong Items
IT-2013-5208514,Wrong Items
US-2013-107440,Wrong Items
ES-2012-2314672,Wrong Items
IN-2013-15368,Wrong Items
IN-2011-18385,Wrong Items
CA-2012-149846,Wrong Items
ES-2013-2757712,Wrong Items
CA-2011-106726,Wrong Items
IT-2011-1978668,Wrong Items
CA-2013-117121,Wrong Items
ID-2013-79432,Wrong Items
IN-2014-34226,Wrong Items
CA-2011-136567,Wrong Items
CA-2011-151330,Wrong Items
MX-2014-158386,Wrong Items
IN-2013-30663,Wrong Items
IN-2013-77444,Wrong Items
ID-2012-60980,Wrong Items
MX-2013-157868,Wrong Items
MX-2012-164791,Wrong Items
IT-2013-1350483,Wrong Items
IN-2014-13324,Wrong Items
IN-2012-46889,Wrong Items
CA-2012-114069,Wrong Items
ID-2013-35640,Wrong Items
IT-2011-3675195,Wrong Items
ES-2014-2034971,Wrong Items
IN-2013-14773,Wrong Items
ES-2012-4934238,Wrong Items
MX-2014-111941,Wrong Items
US-2013-143819,Wrong Items
MX-2014-152961,Wrong Items
ES-2013-4679331,Wrong Items
IN-2011-10286,Wrong Items
IN-2014-12897,Wrong Items
CA-2013-134887,Wrong Items
ID-2013-70122,Wrong Items
ES-2011-2257437,Wrong Items
ID-2014-63920,Bad Quality
ID-2013-29564,Bad Quality
CA-2013-108196,Bad Quality
ID-2012-36403,Bad Quality
IN-2011-19351,Bad Quality
ES-2014-5842530,Bad Quality
MX-2011-137897,Bad Quality
CA-2011-127299,Bad Quality
ES-2014-2440513,Bad Quality
IT-2011-5629016,Bad Quality
CA-2014-133263,Bad Quality
ES-2014-5530354,Bad Quality
IN-2014-37320,Bad Quality
ID-2013-31720,Bad Quality
ES-2011-1712442,Bad Quality
IN-2013-37803,Bad Quality
CA-2013-138478,Bad Quality
US-2013-116729,Bad Quality
CA-2011-119375,Bad Quality
IN-2011-64326,Bad Quality
CA-2014-150091,Bad Quality
ID-2014-31363,Bad Quality
SF-2011-6380,Bad Quality
ES-2013-1692384,Bad Quality
CA-2014-165323,Bad Quality
CA-2013-168354,Bad Quality
CA-2011-141796,Bad Quality
ES-2012-2510515,Bad Quality
IN-2014-68463,Bad Quality
ID-2011-64599,Bad Quality
ES-2013-4632541,Bad Quality
IN-2014-23761,Bad Quality
IN-2014-14780,Bad Quality
IN-2013-48184,Bad Quality
IT-2011-4771701,Bad Quality
CA-2014-158379,Bad Quality
MX-2011-138002,Bad Quality
ES-2012-5113958,Bad Quality
CA-2014-120376,Others
CA-2014-111556,Others
IN-2011-67651,Others
ES-2014-4957212,Others
IT-2011-3528798,Others
IN-2014-32588,Bad Quality
CA-2012-137113,Bad Quality
US-2011-161760,Bad Quality
IN-2011-51964,Bad Quality
CA-2013-122903,Bad Quality
ID-2013-17055,Bad Quality
MX-2014-124744,Bad Quality
US-2011-106992,Bad Quality
CA-2011-117639,Bad Quality
MX-2014-140305,Bad Quality
MX-2014-113845,Bad Quality
ES-2012-4589770,Bad Quality
ES-2014-1331794,Bad Quality
ES-2012-4621754,Bad Quality
ID-2014-41191,Bad Quality
MX-2014-128405,Bad Quality
ES-2011-1858721,Bad Quality
IN-2011-52279,Bad Quality
ES-2013-3042991,Bad Quality
IN-2012-42220,Bad Quality
IN-2014-17972,Wrong Items
MX-2014-151554,Wrong Items
MX-2013-109981,Wrong Items
CA-2013-146633,Wrong Items
CA-2013-110499,Wrong Items
TU-2012-2690,Wrong Items
CA-2014-166709,Wrong Items
MX-2014-164217,Wrong Items
IN-2012-79439,Wrong Items
IT-2012-2646674,Wrong Items
IN-2014-16068,Wrong Items
MX-2011-150973,Wrong Items
MX-2014-154935,Wrong Items
ES-2012-1439357,Wrong Items
IN-2014-16054,Wrong Items
US-2014-148817,Wrong Items
IN-2013-50809,Wrong Items
ES-2013-1211534,Wrong Items
IT-2014-2009199,Wrong Items
ES-2014-1972860,Wrong Items
IN-2014-51432,Wrong Items
IN-2011-26176,Wrong Items
CA-2012-102491,Wrong Items
ID-2014-58271,Wrong Items
US-2012-128587,Wrong Items
IN-2014-68750,Wrong Items
CA-2013-118689,Wrong Items
IN-2013-42535,Wrong Items
CA-2012-124891,Wrong Items
IN-2014-56206,Wrong Items
IT-2014-2819680,Wrong Items
CA-2012-111514,Wrong Items
MX-2012-157987,Wrong Items
US-2014-105935,Wrong Items
IN-2012-45825,Wrong Items
ID-2013-58642,Wrong Items
CA-2011-144624,Wrong Items
ES-2014-4032097,Wrong Items
CA-2014-138149,Wrong Items
IT-2012-3796476,Wrong Items
IN-2014-39735,Wrong Items
ES-2012-4272278,Wrong Items
ES-2014-4856325,Wrong Items
ID-2013-12295,Wrong Items
ID-2013-10636,Wrong Items
ES-2014-5554891,Wrong Items
IN-2014-59202,Wrong Items
IN-2014-44257,Wrong Items
ES-2014-3860822,Wrong Items
IN-2011-23530,Wrong Items
ES-2014-5991471,Wrong Items
MX-2014-127656,Wrong Items
ID-2014-41597,Wrong Items
IN-2014-47449,Wrong Items
ID-2012-79551,Wrong Items
IR-2013-1770,Wrong Items
IN-2014-13597,Wrong Items
ES-2013-1215823,Wrong Items
UP-2011-5440,Wrong Items
ES-2011-3805636,Wrong Items
IN-2011-40155,Wrong Items
IN-2014-74847,Wrong Items
MZ-2014-140,Wrong Items
US-2014-154487,Wrong Items
MX-2012-144848,Wrong Items
CA-2014-152975,Wrong Items
MX-2013-165064,Wrong Items
IN-2014-48261,Wrong Items
MX-2014-126711,Wrong Items
MX-2013-141474,Wrong Items
CA-2014-141733,Wrong Items
ES-2012-2183106,Wrong Items
CA-2014-120138,Wrong Items
IN-2013-72740,Wrong Items
IN-2014-27303,Wrong Items
MX-2012-122756,Wrong Items
ES-2014-4107155,Wrong Items
MX-2013-147844,Wrong Items
CA-2014-143686,Wrong Items
ES-2013-5135305,Wrong Items
MX-2011-131478,Wrong Items
CA-2011-163223,Wrong Items
ES-2012-3533091,Wrong Items
IN-2013-72390,Wrong Items
HU-2014-960,Wrong Items
US-2012-110436,Wrong Items
IN-2013-36963,Wrong Items
MX-2014-117051,Wrong Items
MX-2014-133830,Wrong Items
ES-2014-3540255,Wrong Items
IN-2013-60546,Wrong Items
IN-2012-44278,Wrong Items
IN-2011-35178,Wrong Items
ES-2014-2421154,Wrong Items
IN-2011-43375,Wrong Items
IT-2013-4559122,Wrong Items
ID-2012-48639,Wrong Items
ES-2014-4089082,Wrong Items
IN-2013-34170,Wrong Items
IN-2014-53427,Wrong Items
IN-2011-51740,Wrong Items
IN-2012-63787,Wrong Items
MX-2013-147690,Wrong Items
IN-2014-34317,Wrong Items
IN-2013-26519,Wrong Items
CA-2014-123967,Wrong Items
IN-2013-57914,Wrong Items
ES-2014-2598901,Wrong Items
IT-2012-2093927,Wrong Items
